fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 051423	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	840	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0558427996612381	0.748352350845418	265	1997	12413	62199380.8095952	83
20240513 052101	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	681	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.187842195728164	0.899637545678417	1773	1633	11376	61599976.011994	84
20240513 053000	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	395	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200334748283714	0.50208778268826	1218	137	11232	64193235.3823088	85
20240513 054233	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	896	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0201051141103218	0.503190405520368	1079	101	11364	63974866.5667166	86
20240513 055138	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	334	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200196596721032	0.591631689324043	1253	137	11686	64398851.5742129	87
20240513 060053	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	422	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.020011262562203	0.509106795121717	1258	100	12573	63557101.9490255	88
20240513 061053	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	503	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200117874701614	0.61948835208895	1212	100	11094	63553802.0989505	89
20240513 061833	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	407	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200166761844925	0.641960986466876	933	105	13317	63038085.4572714	90
20240513 062310	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	364	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.316938256845353	0.844072534728117	825	1202	10532	61530596.7016492	91
20240513 062710	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	94	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.325423484727015	0.512057551388715	1827	435	15908	57214470.7646177	92
